Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,sub_species,BioSampleModel,BREED,sex,tissue,AGE,Collection_Date,darwinsark_id,Label,geo_loc_name_country,geo_loc_name_country_continent,BioProject (run),geo_loc_name,HOST,isolate,Sequencing_batch,Sequencing_date,sequencing_platform,analysis_name,BIOMATERIAL_PROVIDER,broad-scale_environmental_context,chimera_check_software,common_name,dev_stage,ENA-FIRST-PUBLIC (run),ENA_first_public,ENA-LAST-UPDATE (run),environmental_medium,geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),Host_age,host_common_name,host_scientific_name,host_sex,host_subject_id,host_taxid,INSDC_center_name,INSDC_status,library_construction_method,library_reads_sequenced,local_environmental_context,negative_control_type,positive_control_type,project_name,Relevant_electronic_resources,sample_collection_method,sample_material_processing,Sample_name,Scientific_Name,Submitter_Id
SRR13235460,WGS,302,2817434708,PRJNA675863,SAMN16778261,1154643964,BROAD INSTITUTE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9667377,Illumina NovaSeq 6000,DarwinsArk_023588_31001806030700,PAIRED,other,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-02-01T00:00:00Z,2020-12-10T00:59:00Z,1,DarwinsArk_023588_31001806030700,SRP297431,familiaris,Model organism or animal,not applicable,female,saliva,not applicable,,23588,31001806030700,,,,,,,Nov.13.2019,,Gencove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR13235461,WGS,302,3552291006,PRJNA675863,SAMN16778260,1382165244,BROAD INSTITUTE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9667376,Illumina NovaSeq 6000,DarwinsArk_023577_31001806034125,PAIRED,other,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-02-01T00:00:00Z,2020-12-10T01:33:00Z,1,DarwinsArk_023577_31001806034125,SRP297431,familiaris,Model organism or animal,not applicable,female,saliva,not applicable,,23577,31001806034125,,,,,,,Feb.8.2020,,Gencove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR13235462,WGS,302,2665567666,PRJNA675863,SAMN16778259,1046314894,BROAD INSTITUTE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9667375,Illumina NovaSeq 6000,DarwinsArk_023531_31001806032923,PAIRED,other,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-02-01T00:00:00Z,2020-12-10T00:25:00Z,1,DarwinsArk_023531_31001806032923,SRP297431,familiaris,Model organism or animal,australian shepherd,female,saliva,not applicable,,23531,31001806032923,,,,,,,Feb.8.2020,,Gencove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR13235463,WGS,302,2517577700,PRJNA675863,SAMN16777611,1019941971,BROAD INSTITUTE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9667374,Illumina NovaSeq 6000,DarwinsArk_012766_31001705283359,PAIRED,other,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-02-01T00:00:00Z,2020-12-10T00:25:00Z,1,DarwinsArk_012766_31001705283359,SRP297431,familiaris,Model organism or animal,not applicable,male,saliva,not applicable,,12766,31001705283359,,,,,,,Nov.13.2019,,Gencove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR13235464,WGS,302,2548235834,PRJNA675863,SAMN16778258,1042596294,BROAD INSTITUTE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9667373,Illumina NovaSeq 6000,DarwinsArk_023517_31001806032936,PAIRED,other,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-02-01T00:00:00Z,2020-12-10T00:23:00Z,1,DarwinsArk_023517_31001806032936,SRP297431,familiaris,Model organism or animal,australian shepherd,male,saliva,not applicable,,23517,31001806032936,,,,,,,Nov.13.2019,,Gencove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR13235465,WGS,302,4930369856,PRJNA675863,SAMN16778257,2013823333,BROAD INSTITUTE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9667372,Illumina NovaSeq 6000,DarwinsArk_023432_31001806030672,PAIRED,other,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-02-01T00:00:00Z,2020-12-10T01:34:00Z,1,DarwinsArk_023432_31001806030672,SRP297431,familiaris,Model organism or animal,siberian husky,male,saliva,not applicable,,23432,31001806030672,,,,,,,Oct.20.2019,,Gencove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR13235466,WGS,302,4832104492,PRJNA675863,SAMN16778256,1983752415,BROAD INSTITUTE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9667371,Illumina NovaSeq 6000,DarwinsArk_023414_31001806034363,PAIRED,other,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-02-01T00:00:00Z,2020-12-10T01:02:00Z,1,DarwinsArk_023414_31001806034363,SRP297431,familiaris,Model organism or animal,not applicable,female,saliva,not applicable,,23414,31001806034363,,,,,,,Oct.20.2019,,Gencove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR13235467,WGS,302,3743508346,PRJNA675863,SAMN16778255,1552491146,BROAD INSTITUTE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9667370,Illumina NovaSeq 6000,DarwinsArk_023413_31001806030685,PAIRED,other,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-02-01T00:00:00Z,2020-12-10T01:00:00Z,1,DarwinsArk_023413_31001806030685,SRP297431,familiaris,Model organism or animal,not applicable,male,saliva,not applicable,,23413,31001806030685,,,,,,,Oct.20.2019,,Gencove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR13235468,WGS,302,3722413344,PRJNA675863,SAMN16778254,1599332609,BROAD INSTITUTE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9667369,Illumina NovaSeq 6000,DarwinsArk_023411_31001806032310,PAIRED,other,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-02-01T00:00:00Z,2020-12-10T01:02:00Z,1,DarwinsArk_023411_31001806032310,SRP297431,familiaris,Model organism or animal,not applicable,female,saliva,not applicable,,23411,31001806032310,,,,,,,Jun.6.2020,,Gencove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR13235469,WGS,302,4556224170,PRJNA675863,SAMN16778253,1885559314,BROAD INSTITUTE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9667368,Illumina NovaSeq 6000,DarwinsArk_023244_31001806034422,PAIRED,other,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-02-01T00:00:00Z,2020-12-10T01:32:00Z,1,DarwinsArk_023244_31001806034422,SRP297431,familiaris,Model organism or animal,not applicable,female,saliva,not applicable,,23244,31001806034422,,,,,,,Oct.20.2019,,Gencove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
